,A,B,C,A,B,C
0,YP_009724390.1 ,B,1273,China,China,Dec-19
1,WCZ78202.1 ,A.2,1273,Brazil: Rio de Janeiro,Brazil,2020
2,WCZ78238.1 ,B.1.1.28,1273,Brazil: Rio de Janeiro,Brazil,2020
3,WCZ78321.1 ,B.1.1.33,1273,Brazil: Rio de Janeiro,Brazil,2020
4,UYA31504.1 ,A.2,1273,USA,USA,2020
5,UPN48586.1 ,B.1.382,1273,USA: South Dakota,USA,2020
6,UPN48602.1 ,B.1.2,1273,USA: South Dakota,USA,2020
7,UPN48609.1 ,B.1,1273,USA: South Dakota,USA,2020
8,UPN48617.1 ,B.1,1273,USA: South Dakota,USA,2020
9,UPN48629.1 ,B.1.1.222,1273,USA: South Dakota,USA,2020
10,UPN48637.1 ,B.1.369,1273,USA: South Dakota,USA,2020
11,UPN48653.1 ,B.1.2,1273,USA: South Dakota,USA,2020
12,UPN48671.1 ,B.1.315,1273,USA: South Dakota,USA,2020
13,UPN48680.1 ,B.1,1273,USA: South Dakota,USA,2020
14,UPN48684.1 ,B.1,1271,USA: South Dakota,USA,2020
15,UPN48689.1 ,B.1.305,1273,USA: South Dakota,USA,2020
16,UPN48731.1 ,B.1,1273,USA: South Dakota,USA,2020
17,UPN48748.1 ,B.1.240,1273,USA: South Dakota,USA,2020
18,UPN48767.1 ,B.1,1273,USA: South Dakota,USA,2020
19,UOH16131.1 ,B.1.2,1273,USA: SD,USA,2020
20,UOH16311.1 ,B.1.363,1273,USA: SD,USA,2020
21,UOH27119.1 ,B.1.1.228,1273,USA: SD,USA,2020
22,UOH27155.1 ,B.1.565,1273,USA: SD,USA,2020
23,UOH27357.1 ,B.1.240,1273,USA: SD,USA,2020
24,UOH28034.1 ,B.1,1273,USA: SD,USA,2020
25,UOH28198.1 ,B.1.509,1273,USA: SD,USA,2020
26,UOH28710.1 ,B.1.126,1273,USA: SD,USA,2020
27,UOH30020.1 ,B.1.413,1273,USA: SD,USA,2020
28,UNY51254.1 ,B.1.2,1273,"USA: Elmore, Idaho",USA,2020
29,UNY51374.1 ,B.1.2,1273,"USA: Elmore, Idaho",USA,2020
30,UNR32106.1 ,B.1,1273,USA: South Dakota,USA,2020
31,UNR32381.1 ,B.1.1.251,1273,USA: South Dakota,USA,2020
32,UNR32405.1 ,B.1.2,1273,USA: South Dakota,USA,2020
33,UNR32417.1 ,B.1.369,1273,USA: South Dakota,USA,2020
34,UNR32549.1 ,B.1.2,1272,USA: South Dakota,USA,2020
35,UNR32573.1 ,B.1.565,1273,USA: South Dakota,USA,2020
36,UNR32741.1 ,B.1.436,1273,USA: South Dakota,USA,2020
37,UNR32993.1 ,B.1.565,1273,USA: South Dakota,USA,2020
38,UNR33089.1 ,B.1.2,1273,USA: South Dakota,USA,2020
39,UNR33136.1 ,B.1.240,1273,USA: South Dakota,USA,2020
40,UNR33148.1 ,B.1,1273,USA: South Dakota,USA,2020
41,UNR33172.1 ,B.1.595,1273,USA: South Dakota,USA,2020
42,UNR33292.1 ,B.1.2,1273,USA: South Dakota,USA,2020
43,UNR33304.1 ,B.1.2,1273,USA: South Dakota,USA,2020
44,UNR33412.1 ,B.1,1273,USA: South Dakota,USA,2020
45,UNR33532.1 ,B.1.2,1273,USA: South Dakota,USA,2020
46,UNR33688.1 ,B.1.2,1273,USA: South Dakota,USA,2020
47,UNR33939.1 ,B.1.565,1273,USA: South Dakota,USA,2020
48,UNR33987.1 ,B.1.240,1273,USA: South Dakota,USA,2020
49,UNR61072.2 ,B.1,1273,USA: South Dakota,USA,2020
50,UNR61192.2 ,B.1.443,1273,USA: South Dakota,USA,2020
51,UNR61228.2 ,B.1,1273,USA: South Dakota,USA,2020
52,UNR61312.2 ,B.1.595,1273,USA: South Dakota,USA,2020
53,UNR61575.2 ,B.1.2,1273,USA: South Dakota,USA,2020
54,UNR61599.2 ,B.1.2,1273,USA: South Dakota,USA,2020
55,UNR61635.2 ,B.1.234,1273,USA: South Dakota,USA,2020
56,UNR61765.2 ,B.1.2,1273,USA: South Dakota,USA,2020
57,UNR61908.2 ,B.1.396,1273,USA: South Dakota,USA,2020
58,UNR61932.2 ,B.1.2,1273,USA: South Dakota,USA,2020
59,UNR62864.1 ,B.1.1,1273,USA: South Dakota,USA,2020
60,UNR62996.1 ,B.1.2,1273,USA: South Dakota,USA,2020
61,UNR63355.1 ,B.1.1,1273,USA: South Dakota,USA,2020
62,UNR63617.1 ,B.1.2,1273,USA: South Dakota,USA,2020
63,UNR63760.1 ,B.1,1273,USA: South Dakota,USA,2020
64,UNR63904.1 ,B.1.1.285,1273,USA: South Dakota,USA,2020
65,UNR64096.1 ,B.1.2,1273,USA: South Dakota,USA,2020
66,UNR64119.1 ,B.1.413,1273,USA: South Dakota,USA,2020
67,UNR64143.1 ,B.1.595,1273,USA: South Dakota,USA,2020
68,UNR64167.1 ,B.1,1273,USA: South Dakota,USA,2020
69,UMP12135.1 ,B.1.369,1273,USA: South Dakota,USA,2020
70,UMP12159.1 ,B.1.363,1273,USA: South Dakota,USA,2020
71,UMP12446.1 ,B.1.2,1273,USA: South Dakota,USA,2020
72,UMP12648.1 ,B.1.401,1273,USA: South Dakota,USA,2020
73,UHK33904.1 ,B.1.570,1273,"USA: Lincoln, ID",USA,2020
74,UHM00137.1 ,B.1.1,1273,Hong Kong,Hong Kong,2020
75,UHM00161.1 ,B.1.1.63,1273,Hong Kong,Hong Kong,2020
76,UHM00677.1 ,B.1.1.63,1273,Hong Kong,Hong Kong,2020
77,UHM01181.1 ,B.1.1.63,1273,Hong Kong,Hong Kong,2020
78,UHM01541.1 ,B.1.1.63,1273,Hong Kong,Hong Kong,2020
79,UHM01589.1 ,B.1.1.63,1273,Hong Kong,Hong Kong,2020
80,UHM02009.1 ,B.1.1.63,1273,Hong Kong,Hong Kong,2020
81,UHM02933.1 ,B.1.1.63,1273,Hong Kong,Hong Kong,2020
82,UHM03257.1 ,B.1.1.63,1273,Hong Kong,Hong Kong,2020
83,UHM04048.1 ,B.1.1.63,1273,Hong Kong,Hong Kong,2020
84,UHM04072.1 ,B.1,1273,Hong Kong,Hong Kong,2020
85,UHM04540.1 ,B.1.1.63,1273,Hong Kong,Hong Kong,2020
86,UHM04864.1 ,B.1.1.63,1270,Hong Kong,Hong Kong,2020
87,UHM05380.1 ,B.1.1.63,1273,Hong Kong,Hong Kong,2020
88,UHM06015.1 ,B.1.1.63,1273,Hong Kong,Hong Kong,2020
89,UHM06303.1 ,B.1.1.63,1273,Hong Kong,Hong Kong,2020
90,UHM06339.1 ,B.1.1.63,1273,Hong Kong,Hong Kong,2020
91,UHM06866.1 ,B.1.1.63,1273,Hong Kong,Hong Kong,2020
92,UHM06986.1 ,B.1.1.63,1273,Hong Kong,Hong Kong,2020
93,UHM07070.1 ,B.1,1272,Hong Kong,Hong Kong,2020
94,UHM07082.1 ,B.1.1.63,1273,Hong Kong,Hong Kong,2020
95,UHM07094.1 ,B.1.36,1273,Hong Kong,Hong Kong,2020
96,UHM07896.1 ,B.1.1.63,1273,Hong Kong,Hong Kong,2020
97,UHM07980.1 ,B.1.1.63,1273,Hong Kong,Hong Kong,2020
98,UHM08016.1 ,B.1.1.63,1273,Hong Kong,Hong Kong,2020
99,UHM08112.1 ,B.1.1.63,1273,Hong Kong,Hong Kong,2020
100,UHM08160.1 ,B.1.1.63,1273,Hong Kong,Hong Kong,2020
101,UHM08244.1 ,B.1.1.63,1273,Hong Kong,Hong Kong,2020
102,UHM08376.1 ,B.1.1.63,1273,Hong Kong,Hong Kong,2020
103,UHM08712.1 ,B.1.1.63,1273,Hong Kong,Hong Kong,2020
104,UHM08892.1 ,B.1.1.63,1273,Hong Kong,Hong Kong,2020
105,UHM08976.1 ,B.1.1.63,1273,Hong Kong,Hong Kong,2020
106,UHM09432.1 ,B.1.36.18,1273,Hong Kong,Hong Kong,2020
107,UHM10102.1 ,B.1.36.27,1272,Hong Kong,Hong Kong,2020
108,UHM10209.1 ,B.1.36,1273,Hong Kong,Hong Kong,2020
109,UHM10437.1 ,B.1.36.27,1273,Hong Kong,Hong Kong,2020
110,UHM10449.1 ,B.1.36.27,1273,Hong Kong,Hong Kong,2020
111,UHM10785.1 ,B.1.1.349,1273,Hong Kong,Hong Kong,2020
112,UHM10821.1 ,B.1.177,1273,Hong Kong,Hong Kong,2020
113,UHM10953.1 ,B.1.177,1273,Hong Kong,Hong Kong,2020
114,UHM10965.1 ,B.1.160,1273,Hong Kong,Hong Kong,2020
115,UHM10988.1 ,B.1.560,1273,Hong Kong,Hong Kong,2020
116,UHM11036.1 ,B.1.36.27,1273,Hong Kong,Hong Kong,2020
117,UHM11084.1 ,B.1.36,1273,Hong Kong,Hong Kong,2020
118,UHM11132.1 ,B.1.36.8,1273,Hong Kong,Hong Kong,2020
119,UHM11144.1 ,B.1.258,1271,Hong Kong,Hong Kong,2020
120,UHM11204.1 ,B.1.1.63,1273,Hong Kong,Hong Kong,2020
121,UHM11216.1 ,B.1.1.349,1273,Hong Kong,Hong Kong,2020
122,UHM11274.1 ,B.1.1.317,1273,Hong Kong,Hong Kong,2020
123,UHM11310.1 ,B.1.1.189,1273,Hong Kong,Hong Kong,2020
124,UHM11322.1 ,B.1.426,1273,Hong Kong,Hong Kong,2020
125,UHM11382.1 ,B.1.1,1273,Hong Kong,Hong Kong,2020
126,UHM11430.1 ,B.1.36,1273,Hong Kong,Hong Kong,2020
127,UHM11454.1 ,B.1.1,1273,Hong Kong,Hong Kong,2020
128,UHM11489.1 ,B.1,1273,Hong Kong,Hong Kong,2020
129,UHM11692.1 ,B.1.1.25,1273,Hong Kong,Hong Kong,2020
130,UHM12400.1 ,B.1.36.27,1273,Hong Kong,Hong Kong,2020
131,UHM12855.1 ,B.1.36.27,1273,Hong Kong,Hong Kong,2020
132,UHM13251.1 ,B.1.36.27,1273,Hong Kong,Hong Kong,2020
133,UHM13610.1 ,B.1.36.27,1273,Hong Kong,Hong Kong,2020
134,UHM13922.1 ,B.1.36.27,1273,Hong Kong,Hong Kong,2020
135,UHM14027.1 ,B.1.177,1273,Hong Kong,Hong Kong,2020
136,UHM14085.1 ,B.1.468,1273,Hong Kong,Hong Kong,2020
137,UHM14097.1 ,B.1.36,1273,Hong Kong,Hong Kong,2020
138,UHM14192.1 ,B.1.470,1273,Hong Kong,Hong Kong,2020
139,UHM14216.1 ,B.1.177.87,1273,Hong Kong,Hong Kong,2020
140,UHM14250.1 ,B.1.351,1270,Hong Kong,Hong Kong,2020
141,UHM14428.1 ,B.1.36.27,1273,Hong Kong,Hong Kong,2020
142,UHM14582.1 ,B.1.36.27,1273,Hong Kong,Hong Kong,2020
143,UHM14869.1 ,B.1.36.27,1273,Hong Kong,Hong Kong,2020
144,UHM15822.1 ,B.1.1.142,1273,Hong Kong,Hong Kong,2020
145,UHM15834.1 ,B.1.36,1272,Hong Kong,Hong Kong,2020
146,UHM16073.1 ,B.1.36.27,1273,Hong Kong,Hong Kong,2020
147,UHM43566.1 ,B.1.2,1273,"USA: Cassia, ID",USA,2020
148,UHM44740.1 ,B.1.2,1273,"USA: Bannock, ID",USA,2020
149,UHK19770.1 ,B.1.2,1273,"USA: Twin Falls, ID",USA,2020
150,UHK20585.1 ,B.1.2,1273,"USA: Canyon, ID",USA,2020
151,UHK20813.1 ,B.1.1.316,1273,"USA: Gooding, ID",USA,2020
152,UHK21557.1 ,B.1.2,1273,"USA: Fremont, ID",USA,2020
153,UGC35675.1 ,B.1.369,1273,USA: Georgia,USA,2020
154,UGC35747.1 ,B.1.369,1273,USA: Georgia,USA,2020
155,UGC35783.1 ,B.1.400,1273,USA: Georgia,USA,2020
156,UFO97112.1 ,B.1.426,1273,"USA: Ada, ID",USA,2020
157,UFO98457.1 ,B.1.2,1273,"USA: Bannock, ID",USA,2020
158,UFO99081.1 ,B.1.369,1273,"USA: Bannock, ID",USA,2020
159,UFO99572.1 ,B.1.596,1273,"USA: Canyon, ID",USA,2020
160,UFP01299.1 ,B.1.561,1273,"USA: Bannock, ID",USA,2020
161,QYK37511.1 ,B.1.369,1273,USA: New Jersey,USA,2020
162,QYK37523.1 ,B.1.369,1271,USA: New Jersey,USA,2020
163,QYK37535.1 ,B.1.369,1269,USA: New Jersey,USA,2020
164,QYK37583.1 ,B.1.369,1267,USA: New Jersey,USA,2020
165,QWE36110.1 ,B.1.1.46,1273,India,India,2020
166,QWE36158.1 ,B.1,1273,India,India,2020
167,QWE36170.1 ,B.1,1273,India,India,2020
168,QTV33102.1 ,A,1273,USA,USA,2020
169,QTP71261.1 ,B.1,1273,USA: Massachusetts,USA,2020
170,QPK68488.1 ,D.2,1273,Australia: Victoria,Australia,2020
171,QPK69855.1 ,D.2,1273,Australia: Victoria,Australia,2020
172,QPK73836.1 ,D.2,1273,Australia: Victoria,Australia,2020
173,QPK75749.1 ,D.2,1273,Australia: Victoria,Australia,2020
174,QPF57902.1 ,D.2,1273,Australia: Victoria,Australia,2020
175,QPF59258.1 ,D.2,1273,Australia: Victoria,Australia,2020
176,QPF59798.1 ,D.2,1273,Australia: Victoria,Australia,2020
177,QPF67537.1 ,D.2,1273,Australia: Victoria,Australia,2020
178,QOT50429.1 ,D.2,1273,Australia: Victoria,Australia,2020
179,QOP81163.1 ,D.2,1273,Australia: Victoria,Australia,2020
180,QOP94670.1 ,D.2,1273,Australia: Victoria,Australia,2020
181,QOQ00895.1 ,D.2,1273,Australia: Victoria,Australia,2020
182,QOQ09568.1 ,D.2,1273,Australia: Victoria,Australia,2020
183,QNO71111.1 ,D.2,1251,Australia: Victoria,Australia,2020
184,QNO76067.1 ,D.2,1273,Australia: Victoria,Australia,2020
185,QNO80891.1 ,D.2,1273,Australia: Victoria,Australia,2020
186,QNO80951.1 ,D.2,1273,Australia: Victoria,Australia,2020
187,QNO80999.1 ,D.2,1273,Australia: Victoria,Australia,2020
188,QNP01363.1 ,B.1.1.136,1273,Australia: Victoria,Australia,2020
189,QNP04495.1 ,D.2,1273,Australia: Victoria,Australia,2020
190,QLJ57383.1 ,B.58,1273,USA: WA,USA,2020
191,QLG76049.1 ,B,1273,Australia: Northern Territory,Australia,2020
192,WAB24788.1 ,A,1273,USA,USA,Jan-20
193,UTB01577.1 ,A,1264,"USA: Washington, King County",USA,Jan-20
194,UTB01589.1 ,A,1264,"USA: Washington, King County",USA,Jan-20
195,QHZ00379.1 ,B,1273,South Korea,South Korea,Jan-20
196,QIA20044.1 ,A,1273,China: Yunnan,China,2020/1/17
197,UJH58758.1 ,A,1273,USA,USA,2020/1/19
198,UJF01169.1 ,A,1273,USA: WA,USA,2020/1/19
199,QXH18697.1 ,B.1.2,1273,USA: West Virginia,USA,2020/1/20
200,QIO04367.1 ,A,1273,China,China,2020/1/20
201,QKV49386.1 ,A,1273,Hong Kong,Hong Kong,2020/1/22
202,QKF95522.1 ,A,1273,Hong Kong,Hong Kong,2020/1/22
203,QJC20993.1 ,A,1273,Hong Kong,Hong Kong,2020/1/22
204,UJS01019.1 ,A,1269,Hong Kong,Hong Kong,2020/1/23
205,QJQ84712.1 ,A.6,1273,Thailand,Thailand,2020/1/23
206,QZA85586.1 ,B,1273,China,China,2020/1/24
207,QHR84449.1 ,B,1273,"Australia: Melbourne, Victoria",Australia,2020/1/25
208,UHU30137.1 ,B,1273,China: Lu'an,China,2020/1/27
209,QZA85310.1 ,B,1273,China,China,2020/1/27
210,QIU81873.2 ,B,1273,China: Beijing,China,2020/1/27
211,QHS34546.1 ,B,1272,India: Kerala State,India,2020/1/27
212,QZZ41084.1 ,A.5,1273,United Kingdom,United Kingdom,2020/1/29
213,QZZ41096.1 ,A.5,1273,United Kingdom,United Kingdom,2020/1/29
214,QZZ41108.1 ,A.5,1273,United Kingdom,United Kingdom,2020/1/29
215,QZZ41120.1 ,A.5,1265,United Kingdom,United Kingdom,2020/1/29
216,QZM06841.1 ,B,1268,Finland,Finland,2020/1/29
217,QOS14145.1 ,A,1265,United Kingdom: England,United Kingdom,2020/1/29
218,QIU81885.1 ,A,1273,China: Beijing,China,2020/1/29
219,QIA98583.1 ,B,1273,India: Kerala State,India,2020/1/31
220,QJC19455.1 ,B.3,1273,Germany,Germany,Feb-20
221,QJW69473.1 ,B.43,1273,Hong Kong,Hong Kong,2020/2/1
222,QPZ33351.1 ,A,1259,Belgium,Belgium,2020/2/3
223,QJD47718.1 ,A,1273,Taiwan,Taiwan,2020/2/4
224,UEA14153.1 ,B.1,1273,Mali,Mali,2020/2/6
225,QZA85226.1 ,B,1273,China,China,2020/2/8
226,QJW69509.1 ,B.43,1273,Hong Kong,Hong Kong,2020/2/9
227,QZA85322.1 ,B,1273,China,China,2020/2/10
228,QSW07469.1 ,B.35,1273,Iran,Iran,2020/2/11
229,QJW69665.1 ,B,1273,Hong Kong,Hong Kong,2020/2/11
230,QZA85406.1 ,B,1273,China,China,2020/2/18
231,QIJ96493.1 ,B,1273,USA,USA,2020/2/18
232,QJW69761.1 ,B,1273,Hong Kong,Hong Kong,2020/2/19
233,QZA85430.1 ,A,1273,China,China,2020/2/20
234,QZA85478.1 ,A,1273,China,China,2020/2/23
235,QII57268.2 ,B,1273,USA,USA,2020/2/24
236,QII57278.1 ,B,1273,USA,USA,2020/2/24
237,QZM06853.1 ,B.1,1268,Finland,Finland,2020/2/26
238,QJD20632.1 ,B.4,1273,Taiwan,Taiwan,2020/2/26
239,QZA85574.1 ,A,1273,China,China,2020/2/28
240,QKS89879.1 ,A.1,1273,"USA: Washington,King County",USA,2020/2/29
241,QKS90083.1 ,A.1,1273,"USA: Oregon,Umatilla County",USA,2020/2/29
242,QKN61217.1 ,B.4,1273,Taiwan,Taiwan,2020/2/29
243,WKQ63569.1 ,B.1,1273,France,France,Mar-20
244,WKJ44660.1 ,B.1.1,1273,France,France,Mar-20
245,WGP95577.1 ,B.1,1273,France,France,Mar-20
246,WGQ48232.1 ,B.1,1273,France,France,Mar-20
247,QOX07523.1 ,B.39,1273,USA: Virginia,USA,Mar-20
248,QNN86157.1 ,A,1273,USA: Virginia,USA,Mar-20
249,QNN86265.1 ,B.1.37,1273,USA: Virginia,USA,Mar-20
250,QKS67443.1 ,A,1263,Hong Kong,Hong Kong,Mar-20
251,QJT72086.1 ,B.40,1273,France,France,Mar-20
252,QJT72134.1 ,B.35,1273,France,France,Mar-20
253,QJT72182.1 ,B.40,1273,France,France,Mar-20
